time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-17T02:04:56.670Z,-21.6823,-69.124,105.78,4.2,mb,,83,0.157,0.83,us,us2000iuaf,2019-02-23T20:21:04.040Z,"88 km NNW of Calama, Chile",earthquake,4.1,6,0.137,15,reviewed,us,us
2018-12-16T19:47:46.310Z,-35.1335,-71.1496,105,4.2,mb,,73,0.455,0.5,us,us2000iu6n,2019-02-16T22:29:11.040Z,"12 km E of Molina, Chile",earthquake,6.9,8.4,0.372,2,reviewed,us,us
2018-12-16T16:27:22.890Z,-23.3871,-69.3348,83.49,4.8,mb,,106,0.217,0.66,us,us2000iu57,2019-02-16T22:29:11.040Z,"111 km SSW of Calama, Chile",earthquake,5.7,4.3,0.081,47,reviewed,us,us
2018-12-16T00:04:13.980Z,-30.6627,-71.7883,28.94,4.4,mwr,,88,0.132,0.7,us,us2000ityn,2019-02-16T22:29:10.040Z,"56 km W of Ovalle, Chile",earthquake,5.4,4.2,0.037,69,reviewed,us,us
2018-12-15T13:06:24.410Z,-9.6185,-75.5461,122.47,4.2,mb,,123,2.676,1,us,us2000ivel,2019-02-16T22:29:09.040Z,"60 km SE of Tingo María, Peru",earthquake,8.4,12.6,0.16,11,reviewed,us,us
2018-12-15T12:12:49.440Z,-19.9758,-70.9587,18.25,4.7,mb,,138,0.831,0.69,us,us2000itug,2019-02-16T22:29:09.040Z,"88 km WNW of Iquique, Chile",earthquake,5.5,4.6,0.079,49,reviewed,us,us
2018-12-15T11:08:25.800Z,-17.6174,-69.7349,10,4.2,mb,,116,0.244,0.76,us,us2000itu3,2019-02-16T22:29:09.040Z,"29 km NE of Palca, Peru",earthquake,6.5,1.9,0.175,9,reviewed,us,us
2018-12-15T10:18:19.060Z,-37.2549,-71.8914,136.79,4.1,mb,,91,0.77,0.58,us,us2000ittu,2019-02-16T22:29:09.040Z,"47 km ENE of Los Ángeles, Chile",earthquake,5.4,10,0.185,8,reviewed,us,us
2018-12-14T09:56:02.480Z,-2.9163,-75.4347,117.61,4.8,mb,,45,3.844,0.8,us,us2000itj2,2019-02-16T22:29:08.040Z,"127 km ENE of Alianza Cristiana, Peru",earthquake,8.1,5.2,0.04,195,reviewed,us,us
2018-12-14T08:40:07.740Z,-18.4517,-71.44,33.34,4.3,mb,,193,1.045,0.8,us,us2000ivbw,2019-02-16T22:29:08.040Z,"89 km S of Pacocha, Peru",earthquake,8.3,8.8,0.187,8,reviewed,us,us
2018-12-14T04:48:50.940Z,-34.8743,-73.8303,10,4.3,mb,,202,1.566,0.79,us,us2000ith1,2019-02-16T22:29:08.040Z,"139 km WNW of Constitución, Chile",earthquake,7.4,2,0.201,7,reviewed,us,us
2018-12-13T23:45:28.440Z,-10.2555,-75.3994,10,4.3,mb,,107,2.228,0.4,us,us2000iv23,2019-02-16T22:29:07.040Z,"35 km N of Oxapampa, Peru",earthquake,5.7,2,0.265,4,reviewed,us,us
